objid,ra,raerr,dec,decerr,type,clean,mode,psfmag_u,psfmagErr_u,psfmag_g,psfmagErr_g,psfmag_r,psfmagErr_r,psfmag_i,psfmagErr_i,psfmag_z,psfmagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,petroRad_r,specObjID,bestObjID,Sourcetype,class,subclass,z,zerr,zwarning,mjd,plate,fiberID
1237679460827923185,24.8803829215774,0.0716509938533292,19.1384760862827,0.0821468407737353,6,1,1,24.67312,1.080722,23.18963,0.2040243,22.19878,0.1288337,23.46054,0.4532126,22.47125,0.4546259,0.2257782,0.1759248,0.121704,0.0904391,0.06727008,1.105233,8160713676174630912,1237679460827923185,SEQUELS_ELG_LOWP,GALAXY,null,0.3366831,1.110428E-05,0,56630,7248,695
1237679461364466179,24.0717831069599,0.0658932873635929,19.7187454143439,0.0519633726106349,3,1,1,24.10653,0.7331039,22.27617,0.1280703,21.80552,0.1279056,22.08773,0.19781,21.36985,0.4372536,0.1814319,0.1413705,0.09779949,0.0726755,0.05405722,1.740823,8160677117413007360,1237679461364466179,SEQUELS_ELG_LOWP,GALAXY,null,0.2919497,1.406318E-05,0,56630,7248,562
1237679478553706748,23.9173689531078,0.0729255267743731,22.1019382053715,0.0929352332290728,3,1,1,21.60551,0.2611908,22.02203,0.1850744,21.15003,0.1077342,22.24819,0.4390002,20.77258,0.2844293,0.3204789,0.249715,0.1727517,0.128373,0.09548593,2.597015,8155037447379460096,1237679478553706748,SEQUELS_ELG_LOWP,GALAXY,null,0.3003443,1.131955E-05,0,56629,7243,525
1237679503247737378,6.31301887196258,0.0873996453263527,19.7324964064526,0.074457409789932,6,1,1,22.14749,0.2874421,21.89361,0.1016633,21.54001,0.1542558,21.78049,0.285425,21.8532,0.6644436,0.261075,0.2034279,0.1407305,0.1045778,0.07778668,1.587197,8545797013228199936,1237679503247737378,QSO,GALAXY,STARBURST,0.1623048,1.072942E-05,0,56944,7590,788
1237680310698705632,17.1550897978963,0.0637550114554546,31.6525733207195,0.082235542134384,6,1,1,22.89966,0.4241281,21.69015,0.05255358,21.62961,0.09101319,21.8438,0.1577987,21.60144,0.3869889,0.2636442,0.2054297,0.1421154,0.1056069,0.07855216,1.421724,7048364974226251776,1237680310698705632,QSO,GALAXY,null,0.1965626,0.0002136133,4,56568,6260,842
1237679253598175911,35.5609759770401,0.117280198222849,-4.76706760053947,0.0955502398745829,3,1,1,23.42455,0.7604881,22.87082,0.1907988,22.26936,0.1396996,22.65222,0.2965004,21.88632,0.457792,0.1105945,0.08617447,0.0596151,0.04430041,0.03295136,1.652412,9148161984788668416,1237679253598175911,ELG_TEST1,GALAXY,STARBURST,0.3296596,3.518404E-05,0,56955,8125,819
1237679254136291447,38.3137802867509,0.0287498121377937,-4.34637564194288,0.0293733181306751,6,1,1,21.69162,0.1373984,21.68536,0.05843568,21.12912,0.05080251,21.92625,0.1220369,20.99313,0.2293852,0.1047499,0.08162041,0.05646462,0.04195927,0.03120999,1.229645,8873245875301752832,1237679254136291447,QSO,GALAXY,STARBURST,0.2884996,1.589263E-05,0,57282,7881,104
1237679254672506973,36.7874519722065,0.0963950478198897,-3.86833347258677,0.127606516565489,6,0,1,22.00464,0.2652649,21.96412,0.1503219,21.75044,0.2074582,21.95259,0.311465,21.65484,0.608802,0.1306939,0.1018358,0.07044955,0.05235157,0.03893995,1.613158,8873337134766858240,1237679254672506973,QSO,GALAXY,STARFORMING,0.1337757,1.664759E-05,0,57282,7881,436
1237679254672507362,36.7756862031797,0.067217869062936,-3.88721585723192,0.0457909633739139,6,1,1,22.19511,0.2597623,21.76854,0.06255421,21.43159,0.1064793,21.70191,0.1317119,21.08886,0.3514763,0.1291821,0.1006579,0.06963463,0.051746,0.03848951,1.266557,8873337684522672128,1237679254672507362,QSO,GALAXY,STARBURST,0.2931916,1.185915E-05,0,57282,7881,438
1237679322862256337,37.1235734403364,0.0536104802626575,-4.48748286464003,0.0439870912614283,6,0,1,21.70609,0.2008498,21.53146,0.05896901,21.4019,0.09355744,23.18744,0.4576646,22.61048,1.115252,0.1151071,0.0896907,0.06204761,0.04610803,0.0342959,1.254155,8873310471609884672,1237679322862256337,QSO,GALAXY,STARBURST,0.2068706,1.533063E-05,0,57282,7881,339
