SpecObjID,plate,fiberID,mjd,ra,dec,z,bpt,velStars,redshift,sigmaStars,sigmaStarsErr,chisq,ebmv,ebmv_err,Flux_OIII_5006,Flux_OIII_5006_Err,EW_OIII_5006,EW_OIII_5006_Err,AoN_OIII_5006,Flux_NII_6583,Flux_NII_6583_Err,Fit_Warning_NII_6583,AoN_NII_6583,Flux_Hb_4861,Flux_Hb_4861_Err,EW_Hb_4861,EW_Hb_4861_Err,Fit_Warning_Hb_4861,AoN_Hb_4861,Flux_Ha_6562,Flux_Ha_6562_Err,EW_Ha_6562,EW_Ha_6562_Err,AoN_Ha_6562
2910598937360492544,2585,537,54097,151.14471,17.793154,0.242333,Star Forming,65123.65,0.2426288,355.2448,320.2546,1.184028,0,0.006837462,1017.045,30.24391,404.7836,-9999,200.6995,55.53916,4.467103,0,7.521533,209.668,8.178303,91.07767,-9999,0,43.80184,660.7437,19.20324,514.4894,-9999,104.9269
2910594814191888384,2585,522,54097,151.1989,17.832688,0.07857135,Star Forming,22763.5,0.07888797,23.49281,471.7171,0.7338432,0,0.005109302,29.20714,0,3.087644,-9999,5.095689,44.98178,2.027987,0,6.1092,45.30968,1.969348,5.65571,-9999,0,8.863529,154.0411,3.111448,18.87936,-9999,21.25001
7498555333972520960,6660,225,56370,151.23318,50.710054,0.6062889,BLANK,142165.2,0.6067477,172.299,31.54271,0.9805914,0.05796238,0.01504014,0,0,0,-9999,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,-9999,0
7498555608850427904,6660,226,56370,151.29163,50.736173,0.3439845,Seyfert/LINER,87964.83,0.3410046,779.4797,376.8,0.8922272,0,0,0,0,0,-9999,0,102.1284,5.177925,0,21.37404,0,0,0,-9999,0,0,3.98238,1.437217,7.475017,-9999,1.482678
7282358911368884224,6468,139,56311,151.34505,31.284424,0.5281247,Seyfert,127220,0.5286123,243.1237,30.30448,0.9729099,0.1085287,0.01782206,3.719987,2.360142,1.179773,0.7487631,1.181823,15.7838,10.78477,0,3.861133,0,0,0,-9999,0,0,1.015787,521.8271,0.3220457,165.4404,0.04436984
7274572994956685312,6461,486,56329,151.38581,31.326412,0.3455192,Star Forming,88888.38,0.3451422,332.7695,444.5388,1.011214,0,0,320.9323,4.427826,400.5324,-9999,84.472,34.02152,2.728866,0,7.537598,89.53449,3.143709,123.7799,-9999,0,24.13441,274.6102,6.44829,690.6553,-9999,57.18206
7274571620567150592,6461,481,56329,151.40398,31.314562,0.6107671,BLANK,142975,0.6110936,292.9283,37.72604,1.051865,0.006504862,0.01371901,0.9748102,3.348158,0.3239019,1.114492,0.4600565,0,0,0,0,0,0,0,-9999,0,0,0,0,0,-9999,0
2198978231913179136,1953,348,53358,151.41682,31.294139,0.206253,Star Forming,56323.08,0.206681,262.9475,13.15679,1.102117,0.05,0.003778835,0.1119135,148.1519,0.006195524,8.20168,0.02557358,0,0,0,0,1.054608,38.99171,0.06022297,2.226606,0,0.2466768,3.860182,18.60092,0.1990604,0.9592072,0.7091649
7274569146665988096,6461,472,56329,151.43988,31.271782,0.2070923,Star Forming,56496.79,0.2073803,197.9795,11.82894,0.8710726,0.05938632,0.003919847,0,0,0,-9999,0,2.606177,3.657448,0,0.7531507,6.156762,4.934321,0.7099908,0.5691727,0,1.132793,3.563759,5.812098,0.3693175,0.6023356,0.2711499
7272229659860463616,6459,153,56273,151.32747,23.014624,0.4975825,Composite,121172.6,0.498086,135.564,32.75894,1.116254,0.1183701,0.02400493,4.098361,2.701586,2.306446,1.520758,0.5289757,15.61654,6.298285,0,2.765434,4.901694,2.879727,2.961606,1.741514,0,1.685321,21.51569,5.156599,12.86087,3.091135,4.757702
7272226361325580288,6459,141,56273,151.35243,23.027248,0.5528682,Star Forming,131970,0.5530249,143.6935,42.57156,1.02819,0.2628385,0.03661299,16.9896,9.230576,4.073402,2.21354,0.9082368,41.74593,32.2569,0,9.242274,18.92547,6.474274,4.8678,1.66788,0,1.511956,104.5831,33.00861,27.38206,8.650529,24.78701
7272228010593021952,6459,147,56273,151.4111,23.030279,0.4653016,Seyfert/LINER,114584.6,0.4655246,297.9975,41.02639,1.03907,0.07580527,0.01796784,0,0,0,-9999,0,0.9546204,14.67408,0,0.04907389,0,0,0,-9999,0,0,0,0,0,-9999,0
2638041818511468544,2343,212,53735,151.44752,22.91556,0.1535284,Star Forming,42902.51,0.1538537,154.4231,8.557048,0.8587047,0.0525871,0.004647851,10.09575,3.473486,0.5293393,0.1822433,2.934167,41.33187,3.736001,0,9.625353,18.87062,3.325737,1.05273,0.1876386,0,5.561907,103.7202,4.594664,5.465991,0.258092,24.10309
5283939891645444096,4693,333,55632,151.47086,44.051456,0.3224283,Star Forming,83900.14,0.3229456,159.072,37.9694,0.8078008,0,0,1.231826,1.511228,1.07374,-9999,0.3744627,0,0,0,0,1.863077,1.171735,1.688232,-9999,0,1.444099,1.051734,2.421552,0.8522251,-9999,0.5050691
5283941266034978816,4693,338,55632,151.49874,44.109372,0.1430768,Star Forming,40175.24,0.1434045,64.28438,46.18196,0.9024576,0,0,39.09093,1.887275,36.31769,-9999,22.44633,5.32432,1.406426,0,3.018103,14.71505,1.387135,14.71712,-9999,0,9.732509,45.42281,1.506415,64.51219,-9999,20.3038
7273479530726748160,6460,604,56334,151.56116,34.748428,0.4116966,Star Forming,103429.3,0.4119942,244.8137,21.36917,0.762664,0.02355901,0.009957946,6.492965,3.83876,1.512398,0.8962108,0.4967929,2.205185,3.241714,0,0.9727826,4.950128,5.189565,1.211491,1.271034,0,0.5011002,11.65035,10.2541,2.654152,2.338517,0.4587338
7273487502186049536,6460,633,56334,151.59061,34.804148,0.5010697,Seyfert,121862.5,0.5015377,213.1574,25.86123,0.7589142,0.05142354,0.0098753,1.152102,2.468088,0.3112928,0.6668903,0.639515,1.907624,6.994911,0,0.8550823,0,0,0,-9999,0,0,4.025866,6.529683,1.064532,1.726717,1.789242
6468480333150613504,5745,674,55998,151.60427,34.772323,0.3397828,Star Forming,87858.02,0.340527,6.902977,5.718017E+10,0.8096969,0,0,144.6897,2.827557,271.572,-9999,68.69666,8.417725,3.04757,0,2.265287,33.8583,2.456898,66.4994,-9999,0,15.96358,106.1827,3.56102,311.1245,-9999,38.8965
6468481983290470400,5745,680,56050,151.60427,34.772323,0.339808,Star Forming,87316.04,0.3381057,8.235353,1316.549,0.7256482,0.04192929,0.03841003,0.9433669,3.554686,3.696065,13.93004,0.4833923,0,0,0,0,1.96407,2.964064,8.474238,12.80857,0,1.084204,1.289066,5.869212,10.18643,46.38703,0.5388777
7273494923889537024,6460,660,56334,151.60427,34.772323,0.3398571,Star Forming,87749.7,0.3400427,6.902977,0,0.9146688,0,0,88.44581,2.886543,315.5848,-9999,63.9278,2.338303,0.8666052,0,1.724405,17.79301,1.733943,67.9808,-9999,0,12.86787,55.4933,2.971903,381.1495,-9999,30.23384
7273489426331398144,6460,640,56334,151.64915,34.833368,0.530523,Seyfert,127568.4,0.5303895,217.8842,33.92481,0.7456281,0.05674638,0.01589215,2.236135,2.359288,0.8778179,0.9264241,0.8646072,5.644803,10.98496,0,1.314908,0,0,0,-9999,0,0,1.996964,21.80301,0.7938232,8.667048,0.795488
7502117201353830400,6663,895,56338,151.56425,47.235545,0.5940343,BLANK,139878.6,0.594539,252.3025,46.21321,0.7356135,0.05,0.02445834,1.921023,3.310334,0.8395467,1.447129,1.13337,0,0,0,0,0.4526543,15.99153,0.2102027,7.426118,0,0.2733594,0,0,0,-9999,0
7502116926475923456,6663,894,56338,151.56846,47.17348,0.3770123,LINER,95969.38,0.3772922,189.8418,18.77366,0.7702784,0.05830238,0.007291967,0.3900408,9.071662,0.1019429,2.371013,0.2390895,1.503307,3.103891,0,0.4235541,0.7218526,17.6697,0.1932384,4.730144,0,0.03147699,0,0,0,-9999,0
